Community name,Description of community,Chat room,Number of users (room),Description of channel,Type of chat room,Nature of discussion,Theme 1,Theme 2,Themes 3
eCommerce Academy,"Welcome to the eCommerce Academy! The Slack eCommerce Academy is a community where founders, entrepreneurs and fans of eCommerce",founders,234,"Topic: Founders daily life experiences, tips and recommendations.
Purpose: This channel is to learn, teach, discover and share tips, articles and experiences (good and bad) that you have faced during your experience as a Founder. Start the discussion! We all want to learn from you!",Project,Other,Training,,
TexasPHP,"Texas PHP focuses on the PHP programming language for Austin, Dallas and other regions in the Texas state area.",longhornphp,100,"Topic: <#C91V16KNJ|longhornphp> <[URL]> <[URL]>
Purpose: Texas PHP conference",Topic,Other,Workshops,,
NUKE,Cross-platform build automation system for C# developers,general,225,":channel-rules: RULES OF THE NUKE CLUB 1. Tell everyone about the NUKE club! 2. Threads when appropriate :thread: 3. Check the docs/FAQ/issues before asking 4. No mentions of @here, @channel or <@U9S0MU8A3> :kissing_heart:",Project,Products,Graphical user interface,,
Indie Game Developers,"Friendly game industry channel focused on Q&A, feedback, networking, and promotion. We offer help with Unity, Game Maker, XNA, Unreal, and just about anything else game dev related. In addition we have expertise in game design surrounding story writing, narrative, sound, and many other topics.",game-design,198,"Purpose: Game design, UI, and related questions",Topic,Processes,Graphical user interface,Games,
AngularBeers,"AngularJS & Beers. Non-profit event to socialise with AngularJS people. Express your motivations, share your ideas and play together creating awesome things in team.",angularcamp-org,48,Purpose: Everything related AngularCamp.org,Project,Other,Web development,,
AngularCamp,"AngularCamps are a series of community run events around the world. Launched in Barcelona, the goal of the camps is to help strengthen the skills of the Angular community and offer insights to techniques, trends and feature development. Join our Slack to find out more.",technical-questions,13,-,Project,Principles and practices,Web development,Workshops,
Code Corps,Building a better future together. Work on open source for social good. ,ember,68,"Topic: [URL]
Purpose: Discuss the Ember front-end for Code Corps. [URL]",Project,Frameworks,Front-end,Coding,
NYC Swift,"NYC Swift Meetup, Swift Camp and NYU iOS Intensive Courses",links-ios,31,-,Project,Other,Workshops,,
MAKERbuino,This is the Slack Team for MAKERbuino the cool retro handheld gaming device.,general,161,This channel is for team-wide communication and announcements. All team members are in this channel.,Project,Products,Games,,
Pa11y,"At Pa11y, we think making the web more accessible improves it for everyone. So we publish a range of free and open-source tools to help designers and developers make their web pages more accessible.",pull-requests,21,"Topic: Post pull requests which need review only, no discussion please – do that in the PR :)
Purpose: Posts your Pa11y-related pull requests in here for review",Project,Tools,Version control,Web development,
ThisHosting.Rocks Community,"A web hosting community. Join and get support, exclusive deals, and more!",linux,160,Purpose: Discussion about Linux,Topic,Principles and practices,,,
SJSU Dev2,"If you are interested in updates to the project, would like to learn more about the framework, have questions about how to use it, would like to discuss ideas for the framework and discuss and technical philosophies regarding firmware with other like minded people, I encourage you to join the workspace!",bugs,148,Discuss bugs that have been encountered and possible solutions to them.,Project,Products,Software maintenance,,
Minnesota PHP User Group,"The Minnesota PHP User Group is a community for people to network, share knowledge, and learn about PHP, the various frameworks and open source technologies.",jobs,45,Purpose: For discussion on open positions,Topic,Other,Jobs,Web development,
Embedded Template Library,Conversations about the use and development of the C++ Embedded Template Library,todo,26,Purpose: Enhancements and features that are available for volunteers to have a go at implementing,Project,Libraries,Coding,,
Selfhosted,We are a community that discusses self hosted web apps and related technologies. While there is no official support provided the community is strong and happy to help.,applications,120,-,Topic,Principles and practices,Web development,Cloud computing,
MDB Community,A community for front-end developers focused on modern front technologies including: - Bootstrap - Angular - React - Vue - MDB ,academy-general,113,-,Topic,Other,Front-end,,
former-DOF,"DOF is a vibrant community of developers. Now is the most advanced humanity is, and the most advanced we'll ever be. Now is a very fleeting concept...it was here the second you started reading the sentence, now it's gone! And now it's here again! Now is present with us for as long as humankind exists. Dev Of Future is group of passionate developers and designers who work together on projects they love making sure they are solving real life problems. - We work together, helping each grow. - We solve real life problem ( just tell us about the problems, then get the solution mapped out :D) - We are passionate on programming contest. The future is nothing but a theory to us… A theory only validated when it comes to pass in the Now. Join 1000+ developers and designers to work on projects they love.",website_work_in_progr,54,Purpose: show development work in progress,Topic,Principles and practices,Coding,,
phparty,"PHP Community of New Zealand. We are looking for active people who are willing to contribute to the community by organising meet ups, writing blog posts or generally help each other with problems.",jobs,20,-,Topic,Other,Jobs,Web development,
Devoverflow,"Community for Entrepreneurs, Developers & Digital marketers to connect. New Community, currently 70 members strong. Everyone welcome from newbies to experts. Huge knowledge base for web development, digital marketing & Shopify. Come join the dark side. ",tools,37,Purpose: Great web tools that make our lives easier,Topic,Tools,Web development,,
Indiedevhour,Community of Indie game developers and hobbyists,indiedevhour,105,"Topic: Games
Purpose: General stuff related to gamedev, main channel",Topic,Processes,Games,,
bristol-developers,"Join a team to collaborate, talk about development and coding in Bristol, local events, coding problems, highlight job opportunities locally and socialise as a community! ",job-opportunities,45,"Purpose: Lets share job opportunities - permanent, contract and freelance - in the Bristol and surrounding area",Topic,Other,Jobs,,
SkaffolderCommunity,The community of developers working with Skaffolder,suggest-features,104,"Topic: Non-work banter and water cooler conversation
Purpose: Propose your ideas and participate in their development.",Project,Products,Web development,,
JIRA Talk,JIRA Talk is a community of JIRA and Confluence users and admins to share their knowledge and get help from each other.,jira,101,-,Topic,Products,,,
App Design Club,"We're a team of global designers and creators looking to share, learn, and grow with each other.",icon-design,29,"Purpose: This channel is for those in my icon design course that wants feedback on their work along the way. Also, if you have any questions about icon design, you can ask them here.",Topic,Other,Graphical user interface,Mobile development,
satRdays,Discuss and plan R conferences!,budapest,16,Topic: See you on Sept 3 2016 at Budapest! More info: [URL],Topic,Other,Workshops,,
Leading Quality,"Join forward-thinking software leaders and quality advocates in having inspiring conversations, sharing best practices and learning new skills! ",book-recommendations,88,Purpose: Get recommended the best books in the leading quality / software leadership space,Topic,Principles and practices,Training,Code quality,
Bots,"Messenger, Slack, Telegram, bots, bots, bots, and more!",messenger,87,-,Topic,Principles and practices,,,
Space Coast Tech,We are a free and public Slack for the Space Coast tech and creative community.,lounge,81,The lounge area,Project,Other,Workshops,,
Drupal Support,Drupal Support Agency,drupar-support,78,General Drupal support requests,Project,Products,Software maintenance,,
Data Science NZ,"If you want to easily connect with other Data Scientists in New Zealand and/or help to build, educate, and expand the data community in NZ, please join our slack community",applications,69,Purpose: Discuss interesting applications of data science.,Topic,Principles and practices,Machine learning,,
Web Developers Scotland,Community of front and back end developers based and working in and around Scotland.,js,18,"Topic: All things Javascript, ECMAscript and Node related
Purpose: All things Javascript, ECMAscript and Node related",Topic,Principles and practices,Web development,,
Perl 6,"Unofficial Perl 6 community on Slack. Talk modules, join our classroom, learn what tooling is available, and become part of a language community built on the fun of programming.",beginners,14,Purpose: Struggling to install or get your first programs running? Ask questions here! Try to keep more advanced topics in other channels.,Topic,Principles and practices,Coding,,
LiveEdu ICO,"LiveEdu is building world’s first blockchain online learning platform. Next-gen Lynda.com. We connect content creators (streamers) to learners (viewers) who teach them how to build complete products. We are a Y-combinator company. Unlike many ICOs, our team has no product development or team risk. Join our ICO to change education and disrupt the $46 billion online education market. Our pre-sale is open for bonus pre-orders: $100k+ 40%, $50k+ 30%, less than $30k 25%. Place your pre-order now!",bountyprogram,62,"Topic: If you have any questions, you can reach our team at [Email]
Purpose: Details and discussion about the LiveEdu bounty program",Project,Other,Workshops,Blockchain,
The AppArtment,"We're 3 dudes making apps & sharing the process. Learn how to create, manage & market an app project for yourself.",general,66,"Topic: All things making apps. Have questions? Ask away!
Purpose: Sharing the journey of building AniQuote, an animated quotes app and how we can all cooperate on future app development projects together.",Project,Products,Coding,Mobile development,
AppHub,"Hello, I am a web development expert with 6+ years experience and expertise building full-stack React.js/Vue.js/Angular + Node.js/Laravel/Django applications and streaming data analytics solutions. I has designed and developed an context-aware advertising platform using Node.js. I always work honestly and finish all tasks in time. I always will report you about a progress in your project. I could write clean code which can be easy extended and supported in the future. Simultaneously, I'm good at learning new technology quickly and collaborating with team using GitHub. I use javascript language in process of my work. I know much about object oriented programming and design patterns. My skills are followings: - Javascript (4 years) - React (2 years) - Vue (1 years) - Node.js (4 years) - Angular (2 years) - Laravel Framework (4 years) - Python, Django Frameworks (3 years) - Single-page Applications (SPA) (3 years) - MongoDB (3 years) - React Native (2 years) - REST API (2 years) - SASS, Git I prefer the fast and efficient work pace and enjoy thinking outside of the box for every project.",topic-javascript,11,Purpose: To learn javascript,Project,Other,Web development,,
Startup Munich,Meet other people in the Munich startup scene.,events,48,Purpose: Share and discuss startup events in Munich,Topic,Other,Workshops,,
appswitch,"AppSwitch can be thought of as Docker for networking. It transparently projects a virtual and consistent network view to the applications by interposing the network API and intelligently handles all application connectivity (discovery, security, load balancing) behind the scenes. Applications are fully decoupled from all network level artifacts such as IP addresses.",general,56,"Topic: Company-wide announcements and work-based matters
Purpose: Discuss ax concepts, deployment and usage.",Project,Tools,Containers,,
allThings.JS,Join our community to discuss all things JavaScript. A community for creative developers to share knowledge about all things JavaScript.,extraresources,56,"Purpose: post anything you find useful, related to javascript and web development in general!",Topic,Principles and practices,Web development,,
curativeai,"We are a group interested in the application of artificial intelligence and machine learning in healthcare. This includes everything from automatically segmenting MRIs and CTs with computer vision algorithms, to ML guided diagnosis, to forecasting length of stay, to ML guided drug discovery. We are open to everyone regardless of experience!",medical-imaging,4,-,Topic,Processes,Machine learning research,,
Picocity,"Picocity is a group of hobbyist game designers, artists and programmers collaborating on building quality content for the PICO-8 virtual gaming console.",bullpen,52,"Purpose: An old company I worked at had a room called the ""bullpen"", where designers and coders entered until they could slam out a solution to hard problems. This is where the hard work takes place. Give it your best shot.",Topic,Principles and practices,Games,,
Hadoop Hangout,"Bringing together the Hadoop community (including Spark, Kafka, and more)!",spark,17,-,Topic,Products,Big Data,Distributed software,
LOTR,"Hackers who like Lord of the Rings and support for GSCRIPT, LAFORGE, etc. - https://github.com/gen0cide/gscript - https://github.com/gen0cide/laforge",binjection,6,"Topic: <[URL]>
Purpose: Binjection development discussion",Topic,Frameworks,Coding,,
Node,Anyone with any amount of interest in Node.js is welcome to join. This is meant to be a very open and collaborative community. A real-time discussion place for literally anything Node.js :),general,51,"Topic: Company-wide announcements and work-based matters
Purpose: This channel is for workspace-wide communication and announcements. All members are in this channel.",Topic,Tools,Web development,,
Facebook Bot Developers,Join Facebook Bot Developers on Slack.,freelance,47,Purpose: section special pour freelancer,Topic,Other,Jobs,,
Techruits,"We're changing the way recruiting works, starting with tech talent first! We're creating an open community for Techruits (technical talent) and Techruitrs (technical recruiters)! ",general,49,"Topic: Company-wide announcements and work-based matters
Purpose: This channel is for workspace-wide communication and announcements. All members are in this channel.",Project,Other,Jobs,,
Bird Open Source,Public workspace for discussing open source software by Bird,mockingbird,48,"Topic: <[URL]>
Purpose: Use this channel to get support, share tips and best practices, or just talk about unit testing in general.",Topic,Principles and practices,Software testing,,
C++ India,This is a group of devs enthusiastic about using C++ from India. The group is focussed to disseminate knowledge & practical use-cases of C++ programming language.,cpp,45,-,Topic,Principles and practices,Coding,,
Elixir Community for Rubyists,This is Elixir community for Ruby and Rails developers who are starting with Elixir or already using Elixir,phoenix,41,-,Topic,Frameworks,Web development,,
Salesforce Remote Jobs,A channel for Salesforce Remote Jobs.,byprojects,10,Purpose: A channel for one time project without specified time period.,Project,Other,Jobs,,
DC Metro Area Chief Offices Group,"This is a group for Chief Technology Officers (CTOs), anyone aspiring to be a CTO, or anyone who works with technology in some capacity and are located in or around the DC metropolitan area. If you have a high level technical question (NOT code-related issues), this group might be able to help you. Issues around staffing, project management, product management, project course corrections are a few examples of where we might be able to assist. If you are a CTO, engineering manager, or simply work in/around software development in some way and would like to discuss any topic that might be of interest to a chief technical officer or technical leader, and work in/around the Washington DC are, or for the US federal government, then this is the group for you. We also have the DC Metro Area Chief Technology Officer Group on LinkedIn so if you use LinkedIn, please feel free to join this group as well: https://www.linkedin.com/groups/12301178/",devnull,35,-,Project,Other,Jobs,,
freeCodeCamp Chicago Loop,"A Slack group for freeCodeCamp.org students and alumni located in Chicago who want to participate in study group meetups in the Loop. Join this Slack to become part of the freeCodeCamp community in Chicago who are dedicated to personal growth, sharing knowledge, and connecting with other Chicago area freeCodeCampers. Learn to code with free online courses, programming projects, and interview preparation for developer jobs at: https://www.freecodecamp.org/",group-meetups,37,"Purpose: Use for important notifications pertaining to planned meetups. Messages like meeting cancellations, location/date/time changes, logistics are appropriate here.",Project,Other,Workshops,Coding,
Element Queries,"A place for frontend web designers to talk about element queries and container queries, ask questions, discuss techniques, share projects, and discover plugins.",eqcss,6,Purpose: Questions and support for EQCSS.js and the EQCSS syntax,Topic,Tools,Software maintenance,Front-end,
mitter.io community,"Connect with the team behind mitter.io. Get support with the platform, SDKs to build your next great app.",javascript-typescript,7,"Topic: All questions and discussions around typescript/javascript SDKs - for node.js, web and react-native",Topic,Tools,Containers,Web development,
IonicCommunity,Slack community for Ionic framework,goodreads,33,Purpose: Interesting blog posts or articles about Ionic Framework,Topic,Other,Mobile development,,
Bespoken Bots,"Workspace to play with bots from Bespoken, including Skillbot",general,36,"Topic: Skillbot Setup: <[URL]>
Purpose: This channel is for team-wide communication and announcements. All team members are in this channel.",Topic,Frameworks,,,
Epic Digital Creators,This is a community for Digital Creators that want to share their products and want to receive support and feedback on their launches. If you are creating a product and want to engage then join us.,launches,7,A place to share the launches of new products and get support from other creators as well as feedback,Project,Products,Jobs,Coding,Testing
Agile Toolkit,Community around Agile Toolkit (ATK4) a PHP low-code framework for building web apps and SaaS.,php, 6 ,-,Topic,Frameworks,Web development,,
jscraftcamp,A BarCamp about JavaScript and Crafting Software ... welcome to join our community,jscc20-orga,18,Organizing JSCC 2019,Topic,Other,Workshops,,
Bayat Games,Awesome Game Development Studio,bugs,29,"Topic: Report the bugs, We will fix them.
Purpose: A place to discuss about new products bugs and problems.",Topic,Products,Games,Software maintenance,
SwiftWinnipeg,"A place for Winnipegers, or anywhere in Manitoba for that matter, who wants to talk about the Swift programming language, or iOS development in general. Talk, share links and stories, help out and collaborate and come out to occasional meet up as well! All skill levels welcome.",general,26,"Topic: Company-wide announcements and work-based matters
Purpose: This channel is for team-wide communication and announcements. All team members are in this channel.",Topic,Principles and practices,Mobile development,,
Codepen Collabs,Codepen collaborations and live coding updates,codepencollabs,3,-,Topic,Principles and practices,Front-end,Integrated development environment,
Jenca,"Hello, This is the slack community for Jenca. It is a software project that brings scalable cloud technologies to Building Information Modelling(BIM). We are completely open source and welcome contributions from external members. Thanks for reading, John",resources,16,Purpose: Discussion around how to make a tool to help interested people of all skills make a start on developing cloud BIM apps,Topic,Principles and practices,Cloud computing,,
Server Tinkering,A place where you can help each other and discuss around server administration and related subjects.,brainstorming,25,"Topic: New ideas, untried solutions, and what ifs
Purpose: A space for getting together and dreaming up new ideas. (If one of these turns into a more fully-formed project, create a new channel for it!)",Topic,Other,,,
Digital Vision & Co,Tech community to federate skilled people,general,25,"Topic: Company-wide announcements and work-based matters
Purpose: This channel is for team-wide communication and announcements. All team members are in this channel.",Topic,Other,Training,,
pucsgroup,Unity AR/VR/XR Development,pucsgroup,10,-,Topic,Principles and practices,Application programming interface,,
Fluffsoft,Ryan's Slack Community,fluffsoft,19,-,Project,Products,Games,,
CherryPro,"Welcome to CherryPro. Here we can talk about programming, technologies, school, studying and other random stuff... The main purpose of this channel is to connect people around the world and possibly new friends ",general,19,"Topic: Company-wide announcements and work-based matters
Purpose: This channel is for team-wide communication and announcements. All team members are in this channel.",Topic,Other,Training,,
infinimesh community,"Welcome at the infinimesh community group! Please follow the well known netiquette. Thanks for using infinimesh, you rock! This group focusses on infinimesh IoT, MQTT broker and all around kafka, kubernetes, AI and surrounding tech. Be part of a growing group of enthusiast and get the newest infos, tips and tricks.",community,18,-,Topic,Principles and practices,Distributed software,,
PSJira,Slack community for conversations around the PowerShell Module PSJira,help,18,"Topic: Help with your PowerShell scripts. Please stay on topic. For more general discussion, please join #help
Purpose: Help with your PowerShell scripts. Please stay on topic. For more general discussion, please join #general",Topic,Principles and practices,Configuration,,
Telecom Application Developers,We are a new community focused on telecom application development – chat about everything to do with programmable telecoms and learn about the wide variety of development resources available for telecom app development. ,telecomdevs,18,-,Topic,Principles and practices,Training,,
DevOps Israel,Israeli DevOps slack community,aws,4,Purpose: all things aws,Topic,Products,Cloud computing,,
AWS Professionals,"AWS Professionals is a community for AWS architects, engineers, programmers, and anyone else who is looking to connect and share information about Amazon Web Services.",aws,17,-,Topic,Products,Cloud computing,,
Apphud,"iOS developers community. Swift, SwiftUI, Cocoa – lets collaborate and study together!",issues,5,-,Topic,Principles and practices,Mobile development,,
SuperTokens,Everything related to security or programming IN,supertokens,15,Purpose: SuperTokens is a session management solution we have been working on. Please use this channel for discussions regarding our project. <[URL]>,Project,Products,Authentication,,
SimpleFW,SimpleFW is a new Node.js framework based on Express,general,15,"Topic: Company-wide announcements and work-based matters
Purpose: This channel is for team-wide communication and announcements. All team members are in this channel.",Project,Frameworks,Web development,Back-end,
Colibri Framework,PHP Colibri Framework,code,3,"Purpose: notifications about commits, pull requests, builds & so on",Project,Frameworks,Web development,,
sw-e,sw-e is a Slack chat discussing software engineering principles and practices. Common topics include architectural design and lifecycle methodologies.,general,15,"Topic: Software engineering principles and practices
Purpose: #general (purpose): Being new and starting small, we're using #general for all software engineering topics and we'll add specific channels as appropriate. You're welcome to share your feedback and www.sw-e.org for invitations.",Topic,Principles and practices,Training,,
ft13 CODE,ft13 THE WORLD OF CODE,general,14,"Topic: Company-wide announcements and work-based matters
Purpose: This channel is for team-wide communication and announcements. All team members are in this channel.",Topic,Other,Training,,
MindSphere,"MindSphere is the open, cloud-based IoT operating system from Siemens that lets you connect your machines and physical infrastructure to the digital world. Within the Slack Community, we discover and discuss new opportunities and exchange about MindSphere, clouds for industry, and the broader IoT universe.",_mindapps,12,Topic: You want to built an app on MindSphere? ,Topic,Products,Mobile development,,
TechyBytes,"A place for developers, designers, and students to network and work together to learn new languages, get help on projects, discuss tech, and grow in the industry. This is a place that really focuses on helping others. ",c,4,"Purpose: Development using C, C++, and C#. Feel free to ask questions.",Topic,Principles and practices,Coding,,
Viva,Team Viva DR,it-devops,5,Purpose: los equipos de desarrollo y operaciones unidos por un proposito. mejoras continuas,Project,Principles and practices,Coding,,
Webcoin,"We are already revolutionizing the way how the world does marketing. Want to learn more and join? https://goo.gl/hZX7Z9 As you can see, we are not only making a change in the digital marketing world, but we also create a bridge between it and the cryptocurrency world. In brief, our platform will offer the same advertising service like Facebook, Twitter, Pinterest and all major social networks, but at least 10x cheaper and more effective thanks to our interest-baseed p2p social platform. Our users which are called ""miners"" will be able to auto generate monthly profits of over $10k a month. Your opinion means a lot to me and my team, that's why any feedback is more than appreciated. I look forward to seeing you become a part of our growing community and network - https://webcoin.today ",general,8,"Topic: Company-wide announcements and work-based matters
Purpose: This channel is for team-wide communication and announcements. All team members are in this channel.",Topic,Products,Blockchain,,
Vincent,"Vincent is a one-stop inbox for design and frontend news and this is our Slack workspace for getting support, collecting user feedback, bug reports and product ideas. Join today! ",feedback,8,"Purpose: Collecting user feedback, bug reports and product ideas",Topic,Products,Mobile development,Front-end,
Elementor Devs,The only Elementor-related workspace used to discuss everything and anything related to Elementor Page Builder Plugin for Wordpress.,elementor,8,-,Topic,Tools,Graphical user interface,Web development,
the-team,"Hello, I'm Vik Wagner and this is wageek.slack. We like have nice and polite conversations on geeky nerdy things like, devices, gadgets, latest news, and any other live envent that would allow us to watch and comment together. I also think that we should have a meetup, so, if you're on the northeast coast (USA) and want to plan a meetup together, let me know @wags ",the-team,4,Purpose: Project Oriented Person's discussing good,Topic,Other,Training,,
Devops Colombia,"Devops people from Colombia, jobs, tricks and even more. Feel free to join us.",general,7,"Topic: Company-wide announcements and work-based matters
Purpose: This channel is for team-wide communication and announcements. All team members are in this channel.",Topic,Other,Jobs,,
UnderTest,UnderTest is an open-source testing toolkit for building world-class behavior-driven (BDD) based enabled projects and culture.,develop,6,-,Project,Tools,Software testing,,
Storm.dev,Storm is an open network of virtual users to monitor and stress test your web applications. Add your node to the network to earn free credits to contribute to the system. ,devs-tools,6,-,Project,Other,Software testing,Software maintenance,
Modist,Welcome to modest mod management!,general,5,"Topic: Talk about whatever you like!
Purpose: This channel is for workspace-wide communication and announcements. All members are in this channel.",Project,Products,Games,Configuration,
