Community name,Number of community users,Chat room name,Number of chat room users,Type of chat room,Nature of discussion,Theme 1,Theme 2
Elixir,25730,phoenix,25209,Topic,Frameworks,Web development,Distributed software
DevChat,19381,jobs,14024,Topic,Other,Jobs,Coding
Elm,16561,beginners,14723,Topic,Principles and practices,Graphical user interface,Web development
Data Science Community,15973,python,14688,Topic,Libraries,Machine learning libraries,
Bot Developer Hangout,12716,botkit,6652,Topic,Tools,Bots development,
clojurians,12609,clojure,12293,Topic,Principles and practices,Web development,
Ruby on Rails Link,12498,coding,12411,Topic,Principles and practices,Coding,
Android United,12329,design-ui-views,12211,Topic,Principles and practices,Graphical user interface,Mobile development
SQL Server Community,10090,sqlhelp,9842,Topic,Principles and practices,Data base,
WeLearnJS,8541,codetalk,8491,Topic,Principles and practices,Coding,Web development
AndroidChat,8391,development,7828,Topic,Processes,Mobile development,
{code} Community,7527,events,5960,Topic,Other,Workshops,
Ruby developers,6383,rails,1927,Topic,Principles and practices,Web development,
vueslack,4799,tools,2098,Topic,Tools,Web development,
Perfect: Server Side Swift,4427,docs,4372,Topic,Libraries,Web development,
uxguide,4361,ux-chat,4367,Topic,Processes,User experience,
chaosengineering,4272,general,4288,Topic,Processes,Software testing,
dist-sys,4069,papers,1184,Topic,Processes,Distributed software,
TechMasters,3917,technology,3818,Topic,Other,Development technologies,
Developers Italia,3892,spid,909,Project,Products,Coding,
IoT Geeks,3879,iot_basic,3815,Topic,Processes,Internet of Things,
Google Android Dev Challenge 2017,3767,livehelp,3760,Topic,Other,Workshops,Mobile development
Data Discourse,3431,data-science,338,Topic,Principles and practices,Big Data,
swiftindia,3100,swift,3100,Topic,Tools,Web development,Development technologies
ddd-cqrs-es,3062,eventsourcing,1813,Topic,Techniques,Workshops,Microservices
PHP Chat,2986,tools,2963,Topic,Tools,Web development,
Datawire OSS,2924,ambassador,2876,Topic,Tools,Microservices,Application program interface
coders-tokyo,2859,questions-css,2852,Topic,Principles and practices,Coding,Graphical user interface
solidus,2859,solidus,2863,Topic,Products,Management (G),Web development
rust,2715,beginners,1183,Topic,Principles and practices,Web development,
Microsoft Developer Chat,2465,csharp,713,Topic,Principles and practices,Coding,
Status,2403,status,2398,Topic,Techniques,Blockchain,
R- Team for Data Analysis,2114,resources,329,Topic,Principles and practices,Machine learning system,
Node.js,1927,dev,1814,Topic,Principles and practices,Web development,
Erlang,1799,learning,416,Topic,Principles and practices,Coding,Software deployment
frontendlondon,1599,topic-events,1133,Topic,Other,Workshops,Front-end (G)
Code & Supply,1565,chat,1533,Topic,Principles and practices,Coding,
phpug,1482,help-php,1097,Topic,Principles and practices,Coding,Web development
PIGSquad,1401,main,1401,Project,Other,Workshops,Games
Cleveland Tech,1325,jobs,528,Topic,Other,Jobs,
DevOpsLinks,1295,aws,304,Topic,Products,Cloud computing,
BerlinJS,1290,main,1280,Topic,Principles and practices,Web development,
SketchApp,1146,new-features,1144,Project,Products,Graphical user interface,Software documentation
WebZuerich,1078,jobs,516,Topic,Other,Jobs,
edgejs,1059,general,1062,Topic,Tools,Web development,
Android Developer Group Berlin,1027,jobs,343,Topic,Other,Jobs,Mobile development
Kaggle_NYC,826,irc-ml,445,Topic,Processes,Machine learning (G),Coding
The MUD Coders Guild,810,coding,402,Topic,Products,Coding,Games
parseopensource,790,parse-server,140,Topic,Principles and practices,Mobile development,Back-end
MSPTech,763,jobs,332,Topic,Other,Jobs,
BAZINGAcoin,748,bazinga,12,Topic,Other,Bitcoin,
Red Hat Linux Admins,742,questions,742,Topic,Principles and practices,Operational systems,
Nomads Talk,732,hiring,126,Topic,Other,Jobs,
hackerstolz-community,728,jobs-and-founder,521,Topic,Other,Jobs,
Web Scrapers,695,general,703,Topic,Frameworks,Web development,
Unpossibly,608,machine-learning,361,Topic,Principles and practices,Machine learning (G),
Electronics For All,604,ar_vr_mr,605,Topic,Processes,Virtual environment,
dataparis,604,recruiting,105,Topic,Other,Jobs,Machine learning (G)
Level Up Tutorials,595,tutorial-videos,174,Topic,Other,Workshops,
IOpipe Community,577,support,555,Project,Products,Software maintenance,Patterns
Swift Noobs,546,help,543,Topic,Principles and practices,Coding,Web development
PICO-8,541,cartridges,176,Topic,Products,Coding,Games
Symfony2 Chat,530,questions,528,Topic,Frameworks,Web development,
Foundation,527,foundation-for-sites,211,Topic,Frameworks,Front-end (G),
PHP Developers,527,coding,525,Topic,Principles and practices,Coding,Web development
Event Modeling,507,cqrs-es,199,Topic,Principles and practices,Patterns,
Scotland PHP,500,meetups,482,Topic,Other,Workshops,Web development
Rocktown Tech,487,events,481,Topic,Other,Workshops,
nextreality,456,facebook-ar-studio,446,Topic,Products,Virtual environment,
Ruby Australia,443,ruby-meetups-au,78,Topic,Other,Workshops,Web development
codebar,437,tutorial,75,Topic,Principles and practices,Workshops,
TorontoJS,427,jobs,123,Topic,Other,Jobs,
The App Developers,416,ios,72,Topic,Products,Mobile development,Streaming applications
Dayton Web Developers,408,jobs,147,Project,Other,Jobs,
Fauna Community,406,help,384,Topic,Products,Coding,Data base
Emulation Development,401,gmb,130,Topic,Products,Games,
Project Unicorn,401,project-ideas,400,Project,Principles and practices,Software deployment,
get-psuguk,350,dsc,333,Topic,Tools,Configuration,Operational systems
tvOS Developers,348,show-and-tell,79,Topic,Principles and practices,Streaming applications,
AtlassianPS,340,help,324,Topic,Products,Authentication,Configuration
serverless,329,lambda,92,Topic,Products,Patterns,
Canton Tech,326,events,326,Project,Other,Workshops,
United Designers,322,design,321,Topic,Principles and practices,Graphical user interface,
BI Professionals,314,news,313,Topic,Other,Data intensive systems (G),
Cocoa-Devs,313,learn,310,Topic,Principles and practices,Workshops,Operational systems
magento-hackathon,309,general-hackathon,309,Project,Other,Coding,Workshops
racket,307,irc,75,Topic,Libraries,Bots development,Application program interface
Knowledgebase,295,resourcces,207,Topic,Other,Data intensive systems (G),
AndroidDevChat for Pakistanis,293,development,284,Topic,Processes,Coding,Mobile development
Reindex,290,general,290,Project,Tools,Back-end,Application program interface
Jaguar28,273,jaguar28,273,Project,Other,Jobs,
AirCTO Connect,268,tools,250,Project,Other,Jobs,Web development
Mobile App Monetization,260,sweetpricing,254,Topic,Tools,Mobile development,
Programming Bloggers,256,blog_building,260,Topic,Principles and practices,Coding,
Munich IT Meetups,238,jobs,61,Topic,Other,Jobs,
eCommerce Academy,237,founders,234,Project,Other,Continuous learning (G),
TexasPHP,227,longhornphp,100,Topic,Other,Workshops,
NUKE,222,general,225,Project,Products,Graphical user interface,
Indie Game Developers,204,game-design,198,Topic,Techniques,Graphical user interface,Games
AngularBeers,196,angularcamp-org,48,Project,Other,Web development,
AngularCamp,192,technical-questions,13,Project,Techniques,Web development,Workshops
Code Corps,185,ember,68,Project,Frameworks,Front-end (G),
NYC Swift,162,links-ios,31,Project,Other,Workshops,Operational systems
MAKERbuino,161,general,161,Project,Products,Games,
Pa11y,160,pull-requests,21,Project,Tools,Version control,Web development
ThisHosting.Rocks Community,158,linux,160,Topic,Principles and practices,Operational systems,
SJSU Dev2,147,bugs,148,Project,Products,Software maintenance,Embedded technologies
Minnesota PHP User Group,142,jobs,45,Topic,Other,Jobs,Web development
Embedded Template Library,131,todo,26,Project,Libraries,Coding,Embedded technologies
Selfhosted,120,applications,120,Topic,Techniques,Web development,Cloud computing
MDB Community,115,academy-general,113,Topic,Other,Front-end (G),
former-DOF,115,website_work_in_progr,54,Topic,Principles and practices,Coding,
phparty,107,jobs,20,Topic,Other,Jobs,Web development
Devoverflow,105,tools,37,Topic,Tools,Web development,
Indiedevhour,104,indiedevhour,105,Topic,Processes,Games,
bristol-developers,103,job-opportunities,45,Topic,Other,Jobs,
SkaffolderCommunity,103,suggest-features,104,Project,Products,Web development,
JIRA Talk,100,jira,101,Topic,Products,Issues management,
App Design Club,98,icon-design,29,Topic,Other,Graphical user interface,Mobile development
satRdays,92,budapest,16,Topic,Other,Workshops,
Leading Quality,89,book-recommendations,88,Topic,Principles and practices,Continuous learning (G),Code quality
Bots,89,messenger,87,Topic,Principles and practices,Bots development,
Space Coast Tech,78,lounge,81,Project,Other,Workshops,
Drupal Support,77,drupar-support,78,Project,Products,Software maintenance,
Data Science NZ,71,applications,69,Topic,Principles and practices,Machine learning (G),
Web Developers Scotland,70,js,18,Topic,Principles and practices,Web development,
Perl 6,69,beginners,14,Topic,Principles and practices,Coding,
LiveEdu ICO,66,bountyprogram,62,Project,Other,Workshops,Blockchain
The AppArtment,66,general,66,Project,Products,Coding,Mobile development
AppHub,64,topic-javascript,11,Project,Other,Web development,
Startup Munich,58,events,48,Topic,Other,Workshops,
appswitch,56,general,56,Project,Tools,Containers,
allThings.JS,56,extraresources,56,Topic,Principles and practices,Web development,
curativeai,55,medical-imaging,4,Topic,Processes,Machine learning research,
Picocity,54,bullpen,52,Topic,Techniques,Games,
Hadoop Hangout,54,spark,17,Topic,Products,Big Data,Distributed software
LOTR,52,binjection,6,Topic,Techniques,Coding,Security
Node,50,general,51,Topic,Tools,Web development,
Facebook Bot Developers,48,freelance,47,Topic,Other,Jobs,Bots development
Techruits,48,general,49,Project,Other,Jobs,
Bird Open Source,47,mockingbird,48,Topic,Principles and practices,Software testing,
C++ India,45,cpp,45,Topic,Principles and practices,Coding,
Elixir Community for Rubyists,41,phoenix,41,Topic,Frameworks,Web development,
Salesforce Remote Jobs,41,byprojects,10,Project,Other,Jobs,
DC Metro Area Chief Offices Group,37,devnull,35,Project,Other,Jobs,
freeCodeCamp Chicago Loop,37,group-meetups,37,Project,Other,Workshops,Coding
Element Queries,36,eqcss,6,Topic,Tools,Software maintenance,Front-end (G)
mitter.io community,36,javascript-typescript,7,Topic,Tools,Containers,Web development
IonicCommunity,35,goodreads,33,Topic,Other,Mobile development,
Bespoken Bots,33,general,36,Topic,Frameworks,Bots development,
Epic Digital Creators,33,launches,7,Topic,Products,User experience,
Agile Toolkit,32,php,6,Topic,Frameworks,Web development,
jscraftcamp,31,jscc20-orga,18,Topic,Other,Workshops,
Bayat Games,31,bugs,29,Topic,Products,Games,Software maintenance
SwiftWinnipeg,26,general,26,Topic,Principles and practices,Mobile development,
Codepen Collabs,26,codepencollabs,3,Topic,Principles and practices,Front-end (G),Integrated development environment
Jenca,26,resources,16,Topic,Principles and practices,Cloud computing,
Server Tinkering,26,brainstorming,25,Topic,Other,Server administration,
Digital Vision & Co,25,general,25,Topic,Other,Development technologies,
pucsgroup,19,pucsgroup,10,Topic,Principles and practices,Virtual environment,User experience
Fluffsoft,19,fluffsoft,19,Project,Products,Games,
CherryPro,19,general,19,Topic,Other,Development technologies,
infinimesh community,18,community,18,Topic,Principles and practices,Distributed software,Internet of things
PSJira,18,help,18,Topic,Principles and practices,Configuration,Operational systems
Telecom Application Developers,18,telecomdevs,18,Topic,Principles and practices,Development technologies,
DevOps Israel,17,aws,4,Topic,Products,Cloud computing,
AWS Professionals,17,aws,17,Topic,Products,Cloud computing,
Apphud,17,issues,5,Topic,Principles and practices,Mobile development,
SuperTokens,16,supertokens,15,Project,Products,Security,
SimpleFW,15,general,15,Project,Frameworks,Web development,Back-end
Colibri Framework,15,code,3,Project,Frameworks,Web development,
sw-e,15,general,15,Topic,Principles and practices,Continuous learning (G),
ft13 CODE,14,general,14,Topic,Other,Development technologies,
MindSphere,11,_mindapps,12,Topic,Products,Mobile development,Operational systems
TechyBytes,9,c,4,Topic,Principles and practices,Coding,
Viva,8,it-devops,5,Project,Principles and practices,Coding,
Webcoin,8,general,8,Topic,Products,Bitcoin,
Vincent,8,feedback,8,Topic,Products,Mobile development,Front-end (G)
Elementor Devs,8,elementor,8,Topic,Tools,Graphical user interface,Web development
the-team,7,the-team,4,Topic,Other,Continuous learning (G),
Devops Colombia,7,general,7,Topic,Other,Development technologies,
UnderTest,6,develop,6,Project,Tools,Software testing,
Storm.dev,6,devs-tools,6,Project,Other,Software testing,Software maintenance
Modist,5,general,5,Project,Products,Games,Configuration
